17306-GrossMarginbyDay-2019-01-01-2019-06-30
Date,Day of the Week,Bill Count,Voids,Gross Sales,Discounts,Net Sales,Menu Item Cost,Labor Cost,Margin
2019-01-01,Tuesday,45,$105.00,"$2,623.00",$0.00,"$2,623.00",$0.00,$767.30,"$1,855.70"
2019-01-02,Wednesday,43,$65.00,"$2,102.00",$10.25,"$2,091.75",$24.00,"$1,176.95",$890.80
2019-01-03,Thursday,51,$14.00,"$2,223.00",$25.00,"$2,198.00",$0.00,"$1,008.75","$1,189.25"
2019-01-04,Friday,72,$121.00,"$4,055.00",$0.00,"$4,055.00",$72.00,$932.00,"$3,051.00"
2019-01-05,Saturday,120,$92.00,"$6,780.00",$47.00,"$6,733.00",$168.00,"$1,778.15","$4,786.85"
2019-01-06,Sunday,79,$37.00,"$4,000.00",$40.00,"$3,960.00",$0.00,"$1,202.60","$2,757.40"
2019-01-07,Monday,40,$23.00,"$1,907.00",$0.00,"$1,907.00",$94.00,"$1,196.45",$616.55
2019-01-08,Tuesday,73,$70.00,"$3,768.00",$57.00,"$3,711.00",$168.00,"$1,189.15","$2,353.85"
2019-01-09,Wednesday,62,$0.00,"$2,739.00",$0.00,"$2,739.00",$264.00,"$1,306.61","$1,168.39"
2019-01-10,Thursday,69,$89.00,"$3,890.00",$164.00,"$3,726.00",$162.00,"$1,392.05","$2,171.95"
2019-01-11,Friday,76,$111.00,"$4,698.00",$0.00,"$4,698.00",$128.00,"$1,264.40","$3,305.60"
2019-01-12,Saturday,140,$157.00,"$7,386.01",$11.00,"$7,375.01",$226.00,"$1,634.50","$5,514.51"
2019-01-13,Sunday,82,$49.00,"$4,186.00",$0.00,"$4,186.00",$120.00,"$1,131.39","$2,934.61"
2019-01-14,Monday,45,$30.00,"$2,293.00",$0.00,"$2,293.00",$108.00,"$1,028.26","$1,156.74"
2019-01-15,Tuesday,51,$95.00,"$2,467.00",$0.00,"$2,467.00",$306.00,"$1,162.90",$998.10
2019-01-16,Wednesday,48,$40.00,"$3,217.00",$0.00,"$3,217.00",$48.00,$734.65,"$2,434.35"
2019-01-17,Thursday,70,$32.00,"$3,559.00",$0.00,"$3,559.00",$242.00,"$1,092.19","$2,224.81"
2019-01-18,Friday,99,$6.00,"$5,602.00",$0.00,"$5,602.00",$178.00,"$1,189.36","$4,234.64"
2019-01-19,Saturday,127,$110.00,"$6,134.00",$0.00,"$6,134.00",$118.00,"$1,434.65","$4,581.35"
2019-01-20,Sunday,70,$71.00,"$3,379.00",$0.00,"$3,379.00",$36.00,"$1,039.05","$2,303.95"
2019-01-21,Monday,31,$46.00,"$1,727.00",$0.00,"$1,727.00",$24.00,$839.05,$863.95
2019-01-22,Tuesday,35,$40.00,"$1,478.00",$136.50,"$1,341.50",$12.00,$825.00,$504.50
2019-01-23,Wednesday,54,$41.00,"$2,388.00",$48.50,"$2,339.50",$232.00,$702.68,"$1,404.82"
2019-01-24,Thursday,80,$113.00,"$3,235.00",$21.00,"$3,214.00",$308.00,"$1,020.50","$1,885.50"
2019-01-25,Friday,81,$68.00,"$5,227.00",$0.00,"$5,227.00",$184.00,"$1,197.65","$3,845.35"
2019-01-26,Saturday,150,$130.00,"$7,502.00",$27.00,"$7,475.00",$96.00,"$1,757.19","$5,621.81"
2019-01-27,Sunday,79,$83.00,"$4,043.00",$0.00,"$4,043.00",$48.00,$840.33,"$3,154.67"
2019-01-28,Monday,37,$12.00,"$1,511.01",$3.00,"$1,508.01",$12.00,$920.33,$575.68
2019-01-29,Tuesday,48,$122.00,"$2,075.00",$51.00,"$2,024.00",$96.00,$902.80,"$1,025.20"
2019-01-30,Wednesday,49,$0.00,"$2,420.00",$42.00,"$2,378.00",$84.00,$770.80,"$1,523.20"
2019-01-31,Thursday,53,$29.00,"$2,677.00",$0.00,"$2,677.00",$84.00,$891.08,"$1,701.92"
2019-02-01,Friday,96,$167.00,"$5,862.10",$159.00,"$5,703.10",$308.00,"$1,191.17","$4,203.93"
2019-02-02,Saturday,144,$189.00,"$6,643.00",$0.00,"$6,643.00",$212.00,"$1,533.99","$4,897.01"
2019-02-03,Sunday,68,$78.00,"$2,963.00",$0.00,"$2,963.00",$0.00,$969.45,"$1,993.55"
2019-02-04,Monday,53,$0.00,"$2,920.00",$10.50,"$2,909.50",$24.00,$995.30,"$1,890.20"
2019-02-05,Tuesday,60,$128.00,"$2,954.00",$7.20,"$2,946.80",$36.00,$801.55,"$2,109.25"
2019-02-06,Wednesday,54,$57.00,"$2,993.02",$164.00,"$2,829.02",$116.00,$851.35,"$1,861.67"
2019-02-07,Thursday,62,$101.00,"$3,415.00",$0.00,"$3,415.00",$120.58,"$1,046.04","$2,248.38"
2019-02-08,Friday,105,$71.00,"$4,818.00",$43.00,"$4,775.00",$248.86,"$1,361.03","$3,165.11"
2019-02-09,Saturday,133,$128.00,"$7,463.00",$80.00,"$7,383.00",$120.72,"$1,492.04","$5,770.24"
2019-02-10,Sunday,93,$199.00,"$4,731.00",$194.50,"$4,536.50",$63.61,"$1,003.60","$3,469.29"
2019-02-11,Monday,37,$40.00,"$1,677.00",$0.00,"$1,677.00",$30.22,$822.72,$824.06
